,Sequence,Support
2,<{2}>,0.260637196
5,<{5}>,0.258151386
1,<{1}>,0.257571363
4,<{4}>,0.255914157
3,<{3}>,0.130712185
7,"<{2},{5}>",0.021419398
6,"<{1},{5}>",0.020963666
50,"<{1},{4}>",0.020549364
51,"<{2},{4}>",0.020466504
100,"<{1},{2}>",0.013340515
114,"<{2},{1}>",0.012511911
9,"<{4},{5}>",0.01234619
54,"<{5},{4}>",0.011931889
52,"<{3},{4}>",0.010937565
8,"<{3},{5}>",0.010233252
11,"<{5},{5}>",0.007788872
53,"<{4},{4}>",0.007540291
101,"<{2},{2}>",0.006753118
113,"<{1},{1}>",0.006380246
91,"<{1},{3}>",0.006214525
92,"<{2},{3}>",0.005675933
115,"<{3},{1}>",0.005427352
102,"<{3},{2}>",0.005054481
93,"<{3},{3}>",0.001657207
84,"<{1},{2},{4}>",0.001408626
26,"<{1},{4},{5}>",0.001325765
45,"<{1},{2},{5}>",0.001077184
16,"<{2},{5},{5}>",0.001035754
44,"<{2},{1},{5}>",0.001035754
25,"<{2},{4},{5}>",0.000994324
60,"<{1},{5},{4}>",0.000994324
83,"<{2},{1},{4}>",0.000952894
59,"<{2},{5},{4}>",0.000828603
17,"<{1},{5},{5}>",0.000787173
47,"<{1},{1},{5}>",0.000745743
24,"<{3},{4},{5}>",0.000704313
40,"<{1},{3},{5}>",0.000662883
70,"<{2},{4},{4}>",0.000621453
39,"<{3},{1},{5}>",0.000580022
82,"<{2},{2},{4}>",0.000538592
77,"<{2},{3},{4}>",0.000497162
55,"<{5},{5},{4}>",0.000455732
69,"<{3},{4},{4}>",0.000455732
88,"<{1},{1},{4}>",0.000455732
58,"<{3},{5},{4}>",0.000414302
71,"<{1},{4},{4}>",0.000414302
78,"<{3},{1},{4}>",0.000414302
79,"<{1},{3},{4}>",0.000414302
38,"<{2},{3},{5}>",0.000372872
43,"<{2},{2},{5}>",0.000372872
105,"<{3},{1},{2}>",0.000331441
125,"<{1},{2},{1}>",0.000331441
13,"<{5},{4},{5}>",0.000290011
14,"<{4},{5},{5}>",0.000248581
15,"<{3},{5},{5}>",0.000248581
76,"<{3},{2},{4}>",0.000248581
96,"<{2},{2},{3}>",0.000248581
118,"<{2},{3},{1}>",0.000248581
126,"<{1},{1},{1}>",0.000248581
98,"<{1},{2},{3}>",0.000207151
106,"<{1},{3},{2}>",0.000207151
109,"<{1},{2},{2}>",0.000207151
123,"<{2},{2},{1}>",0.000207151
12,"<{5},{5},{5}>",0.000165721
23,"<{4},{4},{5}>",0.000165721
34,"<{1},{2},{4},{5}>",0.000165721
36,"<{3},{3},{5}>",0.000165721
37,"<{3},{2},{5}>",0.000165721
57,"<{4},{5},{4}>",0.000165721
75,"<{3},{3},{4}>",0.000165721
97,"<{2},{1},{3}>",0.000165721
103,"<{3},{3},{2}>",0.000165721
108,"<{2},{1},{2}>",0.000165721
111,"<{1},{1},{2}>",0.000165721
56,"<{5},{4},{4}>",0.000124291
65,"<{2},{1},{5},{4}>",0.000124291
68,"<{4},{4},{4}>",0.000124291
124,"<{2},{1},{1}>",0.000124291
18,"<{2},{5},{5},{5}>",8.29E-05
19,"<{2},{4},{5},{5}>",8.29E-05
30,"<{2},{3},{4},{5}>",8.29E-05
42,"<{1},{2},{3},{5}>",8.29E-05
61,"<{1},{5},{5},{4}>",8.29E-05
66,"<{1},{2},{5},{4}>",8.29E-05
67,"<{1},{1},{5},{4}>",8.29E-05
80,"<{2},{2},{3},{4}>",8.29E-05
86,"<{2},{2},{2},{4}>",8.29E-05
95,"<{1},{3},{3}>",8.29E-05
104,"<{2},{3},{2}>",8.29E-05
107,"<{2},{2},{2}>",8.29E-05
116,"<{3},{3},{1}>",8.29E-05
117,"<{3},{2},{1}>",8.29E-05
119,"<{3},{1},{1}>",8.29E-05
10,"<{4,5}>",4.14E-05
20,"<{1},{3},{5},{5}>",4.14E-05
21,"<{1},{2},{5},{5}>",4.14E-05
22,"<{1},{1},{5},{5}>",4.14E-05
27,"<{5},{4},{4},{5}>",4.14E-05
28,"<{3},{4},{4},{5}>",4.14E-05
29,"<{1},{4},{4},{5}>",4.14E-05
31,"<{1},{3},{4},{5}>",4.14E-05
32,"<{1},{2},{3},{4},{5}>",4.14E-05
33,"<{2},{1},{4},{5}>",4.14E-05
35,"<{1},{1},{4},{5}>",4.14E-05
41,"<{3},{1},{3},{5}>",4.14E-05
46,"<{2},{3},{2},{5}>",4.14E-05
48,"<{2},{2},{1},{5}>",4.14E-05
49,"<{1},{2},{1},{5}>",4.14E-05
62,"<{1},{4},{5},{4}>",4.14E-05
63,"<{3},{3},{5},{4}>",4.14E-05
64,"<{1},{3},{5},{4}>",4.14E-05
72,"<{3},{4},{4},{4}>",4.14E-05
73,"<{2},{2},{4},{4}>",4.14E-05
74,"<{1},{1},{4},{4}>",4.14E-05
81,"<{1},{2},{3},{4}>",4.14E-05
85,"<{1},{3},{2},{4}>",4.14E-05
87,"<{2},{2},{2},{2},{4}>",4.14E-05
89,"<{2},{3},{1},{4}>",4.14E-05
90,"<{1},{2},{1},{4}>",4.14E-05
94,"<{3},{1},{3}>",4.14E-05
99,"<{1},{1},{3}>",4.14E-05
110,"<{2},{2},{2},{2}>",4.14E-05
112,"<{3},{3},{1},{2}>",4.14E-05
120,"<{1},{3},{1}>",4.14E-05
121,"<{2},{2},{3},{1}>",4.14E-05
122,"<{2},{1},{3},{1}>",4.14E-05
